tar_name,ori_name,mp_pos,wb_pos,op_pos,origin,tarjet
pose_nose,pose_chest_middle_up,1,1,1,54,1
pose_left_eye,pose_nose,3,2,17,1,2
pose_right_eye,pose_nose,6,3,16,1,3
pose_left_ear,pose_left_eye,8,4,19,2,4
pose_right_ear,pose_right_eye,9,5,18,3,5
pose_left_shoulder,pose_chest_middle_up,12,6,6,54,6
pose_right_shoulder,pose_chest_middle_up,13,7,3,54,7
pose_left_elbow,pose_left_shoulder,14,8,7,6,8
pose_right_elbow,pose_right_shoulder,15,9,4,7,9
pose_left_wrist,pose_left_elbow,16,10,8,8,10
pose_right_wrist,pose_right_elbow,17,11,5,9,11
leftHand_wrist,pose_left_wrist,502,,,10,12
leftHand_thumb_cmc,pose_left_wrist,503,93,97,10,13
leftHand_thumb_mcp,leftHand_thumb_cmc,504,94,98,13,14
leftHand_thumb_ip,leftHand_thumb_mcp,505,95,99,14,15
leftHand_thumb_tip,leftHand_thumb_ip,506,96,100,15,16
leftHand_index_finger_mcp,pose_left_wrist,507,97,101,10,17
leftHand_index_finger_pip,leftHand_index_finger_mcp,508,98,102,17,18
leftHand_index_finger_dip,leftHand_index_finger_pip,509,99,103,18,19
leftHand_index_finger_tip,leftHand_index_finger_dip,510,100,104,19,20
leftHand_middle_finger_mcp,pose_left_wrist,511,101,105,10,21
leftHand_middle_finger_pip,leftHand_middle_finger_mcp,512,102,106,21,22
leftHand_middle_finger_dip,leftHand_middle_finger_pip,513,103,107,22,23
leftHand_middle_finger_tip,leftHand_middle_finger_dip,514,104,108,23,24
leftHand_ring_finger_mcp,pose_left_wrist,515,105,109,10,25
leftHand_ring_finger_pip,leftHand_ring_finger_mcp,516,106,110,25,26
leftHand_ring_finger_dip,leftHand_ring_finger_pip,517,107,111,26,27
leftHand_ring_finger_tip,leftHand_ring_finger_dip,518,108,112,27,28
leftHand_pinky_mcp,pose_left_wrist,519,109,113,10,29
leftHand_pinky_pip,leftHand_pinky_mcp,520,110,114,29,30
leftHand_pinky_dip,leftHand_pinky_pip,521,111,115,30,31
leftHand_pinky_tip,leftHand_pinky_dip,522,112,116,31,32
rightHand_wrist,pose_right_wrist,523,.,.,11,33
rightHand_thumb_cmc,pose_right_wrist,524,114,118,11,34
rightHand_thumb_mcp,rightHand_thumb_cmc,525,115,119,34,35
rightHand_thumb_ip,rightHand_thumb_mcp,526,116,120,35,36
rightHand_thumb_tip,rightHand_thumb_ip,527,117,121,36,37
rightHand_index_finger_mcp,pose_right_wrist,528,118,122,11,38
rightHand_index_finger_pip,rightHand_index_finger_mcp,529,119,123,38,39
rightHand_index_finger_dip,rightHand_index_finger_pip,530,120,124,39,40
rightHand_index_finger_tip,rightHand_index_finger_dip,531,121,125,40,41
rightHand_middle_finger_mcp,pose_right_wrist,532,122,126,11,42
rightHand_middle_finger_pip,rightHand_middle_finger_mcp,533,123,127,42,43
rightHand_middle_finger_dip,rightHand_middle_finger_pip,534,124,128,43,44
rightHand_middle_finger_tip,rightHand_middle_finger_dip,535,125,129,44,45
rightHand_ring_finger_mcp,pose_right_wrist,536,126,130,11,46
rightHand_ring_finger_pip,rightHand_ring_finger_mcp,537,127,131,46,47
rightHand_ring_finger_dip,rightHand_ring_finger_pip,538,128,132,47,48
rightHand_ring_finger_tip,rightHand_ring_finger_dip,539,129,133,48,49
rightHand_pinky_mcp,pose_right_wrist,540,130,134,11,50
rightHand_pinky_pip,rightHand_pinky_mcp,541,131,135,50,51
rightHand_pinky_dip,rightHand_pinky_pip,542,132,136,51,52
rightHand_pinky_tip,rightHand_pinky_dip,543,133,137,52,53
pose_chest_middle_up,pose_chest_middle_up,544,.,.,54,54
